"name","href"
"Attorney-General's Chambers (AGC)","http://www.agc.gov.sg"
"Auditor-General's Office (AGO)","http://www.ago.gov.sg"
"Industrial Arbitration Court (IAC)","http://www.iac.gov.sg"
"Istana (ISTANA)","http://www.istana.gov.sg"
"Judiciary, State Courts (STATE COURTS)","http://www.statecourts.gov.sg"
"Judiciary, Supreme Court (SUPCOURT)","http://www.supremecourt.gov.sg"
"Parliament Of Singapore (PARL)","http://www.parliament.gov.sg"
"Public Service Commission (PSC)","http://www.psc.gov.sg"
"The Cabinet (CAB)","http://www.cabinet.gov.sg"
